,id,song_id,platform_name,platform_url,views,likes,comments
657,658,658,YouTube,https://www.youtube.com/watch?v=8W3Pgl5nqoA,199623.0,1696.0,137.0
658,659,659,YouTube,https://www.youtube.com/watch?v=ZxZ2ufNWmCk,18574.0,302.0,28.0
659,660,660,YouTube,https://www.youtube.com/watch?v=V-evyi0BO3w,19531.0,235.0,14.0
660,661,661,YouTube,https://www.youtube.com/watch?v=NjYntWjrHBc,34285.0,520.0,30.0
661,662,662,YouTube,https://www.youtube.com/watch?v=dqGc5TsBOBw,20230.0,398.0,12.0
662,663,663,YouTube,https://www.youtube.com/watch?v=4I2BO8GKgzA,19125.0,369.0,23.0
663,664,664,YouTube,https://www.youtube.com/watch?v=KyZBs1p83iM,56534.0,513.0,40.0
664,665,665,YouTube,https://www.youtube.com/watch?v=3bJxnzjcYo8,17182.0,217.0,17.0
665,666,666,YouTube,https://www.youtube.com/watch?v=U0dt-ycPqZQ,5137.0,90.0,12.0
666,667,667,YouTube,https://www.youtube.com/watch?v=6thV6L9pMmw,27764.0,557.0,45.0
667,668,668,YouTube,https://www.youtube.com/watch?v=oRMUo04AQ8Y,285431.0,2377.0,64.0
668,669,669,YouTube,https://www.youtube.com/watch?v=fFQQV_hHKyo,45907.0,456.0,20.0
669,670,670,YouTube,https://www.youtube.com/watch?v=iswsh4cD6Cg,264537.0,2785.0,142.0
670,671,671,YouTube,https://www.youtube.com/watch?v=015Oxo_2Iz8,34156.0,639.0,55.0
671,672,672,YouTube,https://www.youtube.com/watch?v=FRHAaT_X6a0,498310.0,5881.0,421.0
672,673,673,YouTube,https://www.youtube.com/watch?v=EepzYnVgCmc,333742.0,3115.0,158.0
673,674,674,YouTube,https://www.youtube.com/watch?v=yl-2NypCP1w,21880.0,431.0,39.0
674,675,675,YouTube,https://www.youtube.com/watch?v=W93R6rA1MYE,873544.0,6621.0,361.0
675,676,676,YouTube,https://www.youtube.com/watch?v=ufIs8FEeD18,54116.0,648.0,21.0
676,677,677,YouTube,https://www.youtube.com/watch?v=gOrrsxkJS3M,17861.0,268.0,19.0
677,678,678,YouTube,https://www.youtube.com/watch?v=D1_EI0faMsA,44137.0,436.0,33.0
678,679,679,YouTube,https://www.youtube.com/watch?v=wkV8i8JnZ70,7905.0,139.0,9.0
679,680,680,YouTube,https://www.youtube.com/watch?v=vhrR7NOH-Ns,105321.0,1763.0,87.0
680,681,681,YouTube,https://www.youtube.com/watch?v=CVtXXtk-PGE,7967.0,102.0,4.0
681,682,682,YouTube,https://www.youtube.com/watch?v=rW8Ycm8uEVw,12516.0,226.0,11.0
682,683,683,YouTube,https://www.youtube.com/watch?v=2JDRLN0gIZg,9033.0,123.0,15.0
683,684,684,YouTube,https://www.youtube.com/watch?v=THvA1QwLl2s,80759.0,1243.0,102.0
684,685,685,YouTube,https://www.youtube.com/watch?v=8u-EajsmSn4,637405.0,5738.0,382.0
685,686,686,YouTube,https://www.youtube.com/watch?v=gbqXgOcOfHE,6467.0,116.0,15.0
686,687,687,YouTube,https://www.youtube.com/watch?v=E6AcbU3Z84k,15760.0,250.0,14.0
687,688,688,YouTube,https://www.youtube.com/watch?v=MBiIY1o4HEk,23053.0,299.0,25.0
688,689,689,YouTube,https://www.youtube.com/watch?v=PPf2CUOYnKw,61546.0,1027.0,85.0
689,690,690,YouTube,https://www.youtube.com/watch?v=EwJCxpU8kXc,8786.0,162.0,15.0
690,691,691,YouTube,https://www.youtube.com/watch?v=aZTB4639JuA,53989.0,1101.0,104.0
691,692,692,YouTube,https://www.youtube.com/watch?v=o7TqBJA2-Qo,25636.0,1067.0,126.0
692,693,693,YouTube,https://www.youtube.com/watch?v=dPyAZqbuXEk,10974.0,287.0,28.0
693,694,694,YouTube,https://www.youtube.com/watch?v=i1baWUGsuEQ,29028.0,780.0,61.0
694,695,695,YouTube,https://www.youtube.com/watch?v=fLhZlFZqDSI,9098.0,101.0,5.0
695,696,696,YouTube,https://www.youtube.com/watch?v=lRWfCSgl6E0,5230.0,159.0,10.0
696,697,697,YouTube,https://www.youtube.com/watch?v=okhc9BbKXV4,12913.0,267.0,23.0
697,698,698,YouTube,https://www.youtube.com/watch?v=v3_1oqcp9O8,80808.0,1316.0,61.0
698,699,699,YouTube,https://www.youtube.com/watch?v=9mYH-Eyabko,17974.0,189.0,11.0
699,700,700,YouTube,https://www.youtube.com/watch?v=MCnmVTRflkE,4823.0,109.0,7.0
700,701,701,YouTube,https://www.youtube.com/watch?v=zkMGMYVItws,8125.0,219.0,16.0
701,702,702,YouTube,https://www.youtube.com/watch?v=WQnt_6wUu5Y,31557.0,334.0,10.0
702,703,703,YouTube,https://www.youtube.com/watch?v=Xl17SPF3w1o,14901.0,209.0,17.0
703,704,704,YouTube,https://www.youtube.com/watch?v=BMQgnQ5ae8o,4133.0,72.0,5.0
704,705,705,YouTube,https://www.youtube.com/watch?v=IUn8YbRERws,9405.0,218.0,14.0
705,706,706,YouTube,https://www.youtube.com/watch?v=o_AJTn26ifQ,7201.0,152.0,13.0
706,707,707,YouTube,https://www.youtube.com/watch?v=eNDEPFYdaX0,21612.0,463.0,29.0
707,708,708,YouTube,https://www.youtube.com/watch?v=hikg21xNzkk,4656.0,84.0,5.0
708,709,709,YouTube,https://www.youtube.com/watch?v=SQ-pYZnGnbU,5813.0,125.0,6.0
709,710,710,YouTube,https://www.youtube.com/watch?v=vbJJYEY1Tkk,7148.0,189.0,12.0
710,711,711,YouTube,https://www.youtube.com/watch?v=ruUS2i4CS5U,9733.0,263.0,28.0
711,712,712,YouTube,https://www.youtube.com/watch?v=bZoEy-kvY0k,11356.0,151.0,16.0
712,713,713,YouTube,https://www.youtube.com/watch?v=oZI5gRt6NBk,37757.0,746.0,71.0
713,714,714,YouTube,https://www.youtube.com/watch?v=ICFNkQ6kLSU,52580.0,833.0,96.0
714,715,715,YouTube,https://www.youtube.com/watch?v=ejaPGieaTAE,49249.0,1037.0,107.0
715,716,716,YouTube,https://www.youtube.com/watch?v=TRIICafiFEY,16450.0,566.0,54.0
716,717,717,YouTube,https://www.youtube.com/watch?v=YGGV5Wf48rk,5312.0,120.0,9.0
717,718,718,YouTube,https://www.youtube.com/watch?v=fH2i0y8Sro8,25594.0,391.0,48.0
718,719,719,YouTube,https://www.youtube.com/watch?v=YLu02e6jCus,16787.0,321.0,25.0
719,720,720,YouTube,https://www.youtube.com/watch?v=L-zBUCru9dY,4846.0,79.0,5.0
720,721,721,YouTube,https://www.youtube.com/watch?v=rQhwLYk8TH0,22154.0,294.0,25.0
721,722,722,YouTube,https://www.youtube.com/watch?v=kuWM2UXU0fM,3278.0,45.0,1.0
722,723,723,YouTube,https://www.youtube.com/watch?v=UoTIcbmCJkc,10787.0,213.0,19.0
723,724,724,YouTube,https://www.youtube.com/watch?v=lcaj4gr6voQ,8878.0,191.0,24.0
724,725,725,YouTube,https://www.youtube.com/watch?v=QZoCZkflaVw,8327.0,202.0,9.0
725,726,726,YouTube,https://www.youtube.com/watch?v=1ktcLMVGuiQ,23056.0,620.0,41.0
726,727,727,YouTube,https://www.youtube.com/watch?v=kqX8taTUV9I,107437.0,1142.0,65.0
727,728,728,YouTube,https://www.youtube.com/watch?v=YlTadB8ztq8,420670.0,4651.0,356.0
728,729,729,YouTube,https://www.youtube.com/watch?v=QjlU1ypkQ2I,232728.0,2745.0,174.0
729,730,730,YouTube,https://www.youtube.com/watch?v=zehlHcOXO3g,9938.0,219.0,13.0
730,731,731,YouTube,https://www.youtube.com/watch?v=ayt1cpHZJXo,8119.0,114.0,6.0
731,732,732,YouTube,https://www.youtube.com/watch?v=V2K7DyHWzf0,26345.0,446.0,44.0
732,733,733,YouTube,https://www.youtube.com/watch?v=tdobgXtzBe8,11334.0,224.0,11.0
733,734,734,YouTube,https://www.youtube.com/watch?v=7EHu0UoYsD4,7402.0,131.0,8.0
734,735,735,YouTube,https://www.youtube.com/watch?v=2gYB5RD1vNU,28007.0,228.0,16.0
735,736,736,YouTube,https://www.youtube.com/watch?v=oAFa1aozO1A,41095.0,1016.0,77.0
736,737,737,YouTube,https://www.youtube.com/watch?v=iyvUiezFuR4,9106.0,175.0,7.0
737,738,738,YouTube,https://www.youtube.com/watch?v=Xzv_LMgx_FY,19530.0,355.0,24.0
738,739,739,YouTube,https://www.youtube.com/watch?v=gOMr_JExZxE,151903.0,2158.0,239.0
739,740,740,YouTube,https://www.youtube.com/watch?v=xRh3-ER-Rc4,8674.0,166.0,11.0
740,741,741,YouTube,https://www.youtube.com/watch?v=ghRMly26VKg,5868.0,154.0,7.0
741,742,742,YouTube,https://www.youtube.com/watch?v=FwdEeqs51dU,88124.0,1323.0,92.0
742,743,743,YouTube,https://www.youtube.com/watch?v=N_bMHRaOGU4,23590.0,389.0,19.0
743,744,744,YouTube,https://www.youtube.com/watch?v=h-3KyeETYyA,48166.0,549.0,29.0
744,745,745,YouTube,https://www.youtube.com/watch?v=McnQKJfr-ro,969798.0,8038.0,426.0
745,746,746,YouTube,https://www.youtube.com/watch?v=vf_PwCD5VIo,12988.0,274.0,33.0
746,747,747,YouTube,https://www.youtube.com/watch?v=X92McXNrCwg,7259.0,144.0,4.0
747,748,748,YouTube,https://www.youtube.com/watch?v=at8iG1XNREs,297496.0,3375.0,290.0
748,749,749,YouTube,https://www.youtube.com/watch?v=ZjaxKUkxt6A,94626.0,1075.0,93.0
749,750,750,YouTube,https://www.youtube.com/watch?v=npjE3J53eWQ,5544.0,121.0,16.0
750,751,751,YouTube,https://www.youtube.com/watch?v=52VNVwhU2JY,102311.0,1903.0,172.0
751,752,752,YouTube,https://www.youtube.com/watch?v=DWNOu0rqmYQ,4674.0,93.0,8.0
752,753,753,YouTube,https://www.youtube.com/watch?v=w2LxOVvpf-E,13866.0,271.0,15.0
753,754,754,YouTube,https://www.youtube.com/watch?v=9WJ7krhFgQg,16086.0,211.0,12.0
754,755,755,YouTube,https://www.youtube.com/watch?v=lDJ1yd_b_KE,35241.0,693.0,32.0
